2025-05-04 11:06:36 | ID: hdn0136656 | PDFアクセス: SPIKA_second_half.pdf | IP: ::1 | ブラウザ: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36
2025-05-04 11:06:42 | ID: hdn0136656 | PDFアクセス: sokuho_202502.pdf | IP: ::1 | ブラウザ: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36
2025-05-04 11:06:47 | ID: hdn0136656 | PDFアクセス: hoken.pdf | IP: ::1 | ブラウザ: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36
2025-05-04 11:06:54 | ID: hdn0136656 | PDFアクセス: ranking.pdf | IP: ::1 | ブラウザ: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36
2025-05-04 11:10:06 | ID: hdn0136656 | PDFアクセス: shinki.pdf | IP: ::1 | ブラウザ: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36
2025-05-04 11:39:58 | ID: hdn0136656 | アクセス: videos.php | IP: ::1 | ブラウザ: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36
2025-05-04 11:40:10 | ID: hdn0136656 | アクセス: videos.php | IP: ::1 | ブラウザ: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36
2025-05-04 11:40:19 | ID: hdn0136656 | アクセス: videos_rakumaru.php | IP: ::1 | ブラウザ: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36
2025-05-04 11:40:32 | ID: hdn0136656 | PDFアクセス: sokuho_202502.pdf | IP: ::1 | ブラウザ: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36
2025-05-04 11:40:39 | ID: hdn0136656 | PDFアクセス: SPIKA_second_half.pdf | IP: ::1 | ブラウザ: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36
2025-05-04 11:40:48 | ID: hdn0136656 | PDFアクセス: SPIKA2024_1.pdf | IP: ::1 | ブラウザ: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36
2025-05-04 11:49:30 | ID: hdn0136656 | アクセス: videos.php | IP: ::1 | ブラウザ: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36
2025-05-04 11:49:45 | ID: hdn0136656 | アクセス: videos_rakumaru.php | IP: ::1 | ブラウザ: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36
