2025-08-01 06:56:55 | ID: hdn0101585 | アクセス: videos2.php | IP: 60.143.126.5 | ブラウザ: Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1
2025-08-01 08:55:17 | ID: hdn0107898 | PDFアクセス: ranking2025.pdf | IP: 114.179.190.231 | ブラウザ: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0
2025-08-01 08:55:55 | ID: hdn0061249 | PDFアクセス: SE_zangyo.pdf | IP: 114.179.190.232 | ブラウザ: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0
2025-08-01 08:56:46 | ID: hdn0057697 | PDFアクセス: hoken.pdf | IP: 114.179.190.237 | ブラウザ: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0
2025-08-01 08:57:35 | ID: hdn0022770 | アクセス: videos2.php | IP: 114.179.190.223 | ブラウザ: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0
2025-08-01 08:58:07 | ID: hdn0057697 | PDFアクセス: shinki.pdf | IP: 114.179.190.237 | ブラウザ: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0
2025-08-01 09:00:03 | ID: hdn0057697 | PDFアクセス: ei_zangyo.pdf | IP: 114.179.190.237 | ブラウザ: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0
2025-08-01 09:00:49 | ID: hdn0057697 | PDFアクセス: jishiritu2.pdf | IP: 114.179.190.237 | ブラウザ: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0
2025-08-01 09:01:27 | ID: hdn0057697 | PDFアクセス: jishiritu.pdf | IP: 114.179.190.237 | ブラウザ: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0
2025-08-01 09:02:15 | ID: hdn0108531 | PDFアクセス: shinki.pdf | IP: 114.179.190.221 | ブラウザ: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0
2025-08-01 09:02:17 | ID: hdn0068882 | PDFアクセス: sokuho_2025.pdf | IP: 114.179.190.221 | ブラウザ: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0
