2025-08-03 08:13:28 | ID: hdn0070059 | PDFアクセス: jishiritu.pdf | IP: 106.133.117.58 | ブラウザ: Mozilla/5.0 (iPhone; CPU iPhone OS 16_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1
2025-08-03 08:14:16 | ID: hdn0070059 | PDFアクセス: SE_zangyo.pdf | IP: 106.133.119.67 | ブラウザ: Mozilla/5.0 (iPhone; CPU iPhone OS 16_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1
2025-08-03 08:19:54 | ID: hdn0070059 | PDFアクセス: SE_zangyo.pdf | IP: 106.133.116.53 | ブラウザ: Mozilla/5.0 (iPhone; CPU iPhone OS 16_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1
2025-08-03 08:33:54 | ID: hdn0015912 | PDFアクセス: revenue.pdf | IP: 114.179.190.232 | ブラウザ: Mozilla/5.0 (iPad; CPU OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1
2025-08-03 08:34:02 | ID: hdn0015912 | PDFアクセス: sokuho_2025.pdf | IP: 114.179.190.232 | ブラウザ: Mozilla/5.0 (iPad; CPU OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1
2025-08-03 08:35:28 | ID: hdn0015912 | PDFアクセス: basic_1.pdf | IP: 114.179.190.232 | ブラウザ: Mozilla/5.0 (iPad; CPU OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1
2025-08-03 08:35:34 | ID: hdn0015912 | PDFアクセス: hoken.pdf | IP: 114.179.190.232 | ブラウザ: Mozilla/5.0 (iPad; CPU OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1
2025-08-03 08:35:39 | ID: hdn0015912 | PDFアクセス: hoken.pdf | IP: 114.179.190.232 | ブラウザ: Mozilla/5.0 (iPad; CPU OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1
2025-08-03 08:36:10 | ID: hdn0015912 | PDFアクセス: service_rieki.pdf | IP: 114.179.190.232 | ブラウザ: Mozilla/5.0 (iPad; CPU OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1
2025-08-03 08:45:30 | ID: hdn0108531 | PDFアクセス: revenue.pdf | IP: 114.179.190.232 | ブラウザ: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0
2025-08-03 09:00:40 | ID: hdn0070567 | PDFアクセス: ranking2025.pdf | IP: 114.179.190.237 | ブラウザ: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0
