2025-08-06 12:25:34 | ID: hdn000999 | PDFアクセス: graph2025.pdf | IP: 144.49.102.39 | ブラウザ: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36
2025-08-06 12:26:17 | ID: hdn000999 | PDFアクセス: sokuho_2025.pdf | IP: 144.49.102.39 | ブラウザ: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36
2025-08-06 12:32:03 | ID: hdn000999 | PDFアクセス: jishiritu.pdf | IP: 144.49.102.39 | ブラウザ: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36
2025-08-06 12:32:51 | ID: hdn000999 | PDFアクセス: attack_6m.pdf | IP: 144.49.102.39 | ブラウザ: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36
2025-08-06 14:16:31 | ID: hdn0110884 | アクセス: videos.php | IP: 220.150.246.161 | ブラウザ: Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1
2025-08-06 14:16:39 | ID: hdn0110884 | PDFアクセス: hoken.pdf | IP: 220.150.246.161 | ブラウザ: Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1
2025-08-06 14:16:53 | ID: hdn0110884 | PDFアクセス: SE_result.pdf | IP: 220.150.246.161 | ブラウザ: Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1
2025-08-06 14:17:03 | ID: hdn0110884 | PDFアクセス: sokuho_2025.pdf | IP: 220.150.246.161 | ブラウザ: Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1
2025-08-06 14:17:17 | ID: hdn0110884 | PDFアクセス: ranking2025.pdf | IP: 220.150.246.161 | ブラウザ: Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1
2025-08-06 18:56:39 | ID: hdn0022777 | PDFアクセス: SPIKA202507.pdf | IP: 210.162.46.11 | ブラウザ: Mozilla/5.0 (iPad; CPU OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1
2025-08-06 18:57:04 | ID: hdn0022777 | PDFアクセス: sokuho_2025.pdf | IP: 210.162.46.11 | ブラウザ: Mozilla/5.0 (iPad; CPU OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1
2025-08-06 21:18:28 | ID: hdn0142907 | PDFアクセス: sokuho_2025.pdf | IP: 60.110.33.165 | ブラウザ: Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1
2025-08-06 21:18:47 | ID: hdn0142907 | PDFアクセス: basic_1.pdf | IP: 60.110.33.165 | ブラウザ: Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1
2025-08-06 21:18:54 | ID: hdn0142907 | PDFアクセス: shinki.pdf | IP: 60.110.33.165 | ブラウザ: Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1
