2025-08-07 08:31:53 | ID: hdn0015912 | PDFアクセス: revenue.pdf | IP: 114.179.190.232 | ブラウザ: Mozilla/5.0 (iPad; CPU OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1
2025-08-07 08:37:53 | ID: hdn0015912 | PDFアクセス: sokuho_2025.pdf | IP: 114.179.190.232 | ブラウザ: Mozilla/5.0 (iPad; CPU OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1
2025-08-07 08:38:28 | ID: hdn0015912 | PDFアクセス: chao_mijishi.pdf | IP: 114.179.190.232 | ブラウザ: Mozilla/5.0 (iPad; CPU OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1
2025-08-07 08:38:38 | ID: hdn0015912 | PDFアクセス: service_rieki.pdf | IP: 114.179.190.232 | ブラウザ: Mozilla/5.0 (iPad; CPU OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1
2025-08-07 08:38:41 | ID: hdn0015912 | PDFアクセス: service_rieki.pdf | IP: 114.179.190.232 | ブラウザ: Mozilla/5.0 (iPad; CPU OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1
2025-08-07 08:38:47 | ID: hdn0015912 | PDFアクセス: graph2025.pdf | IP: 114.179.190.232 | ブラウザ: Mozilla/5.0 (iPad; CPU OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1
2025-08-07 08:53:44 | ID: hdn0099705 | アクセス: videos2.php | IP: 211.124.120.162 | ブラウザ: Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1
2025-08-07 09:08:23 | ID: hdn0103769 | PDFアクセス: basic_1.pdf | IP: 114.179.190.232 | ブラウザ: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0
2025-08-07 09:16:31 | ID: hdn0022789 | PDFアクセス: sokuho_2025.pdf | IP: 114.179.190.237 | ブラウザ: Mozilla/5.0 (iPad; CPU OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1
2025-08-07 09:22:50 | ID: hdn0106233 | PDFアクセス: ranking2025.pdf | IP: 114.179.190.232 | ブラウザ: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0
2025-08-07 09:24:39 | ID: hdn0106233 | PDFアクセス: sokuho_2025.pdf | IP: 114.179.190.232 | ブラウザ: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0
2025-08-07 09:25:47 | ID: hdn0106233 | PDFアクセス: ei_zangyo.pdf | IP: 114.179.190.232 | ブラウザ: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0
