2026-01-19 07:32:38 | ID: hdn0103769 | PDFアクセス: ranking2025.pdf | IP: 180.145.168.226 | ブラウザ: Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1
2026-01-19 07:36:21 | ID: hdn0103769 | PDFアクセス: sokuho_2025.pdf | IP: 180.145.168.226 | ブラウザ: Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1
2026-01-19 07:47:34 | ID: hdn0101585 | PDFアクセス: sokuho_2025.pdf | IP: 160.249.26.132 | ブラウザ: Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1
2026-01-19 07:49:19 | ID: hdn0101585 | PDFアクセス: basic_1.pdf | IP: 60.143.126.5 | ブラウザ: Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1
2026-01-19 07:49:45 | ID: hdn0101585 | PDFアクセス: hoken.pdf | IP: 60.143.126.5 | ブラウザ: Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1
2026-01-19 07:49:54 | ID: hdn0101585 | PDFアクセス: attack_6m.pdf | IP: 60.143.126.5 | ブラウザ: Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1
2026-01-19 07:50:00 | ID: hdn0101585 | PDFアクセス: shinki.pdf | IP: 60.143.126.5 | ブラウザ: Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1
2026-01-19 07:50:22 | ID: hdn0101585 | PDFアクセス: ei_zangyo.pdf | IP: 60.143.126.5 | ブラウザ: Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1
2026-01-19 07:50:25 | ID: hdn0103769 | PDFアクセス: basic_1.pdf | IP: 180.145.168.226 | ブラウザ: Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1
2026-01-19 07:50:48 | ID: hdn0101585 | PDFアクセス: ei_zangyo.pdf | IP: 60.143.126.5 | ブラウザ: Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1
2026-01-19 07:50:58 | ID: hdn0101585 | PDFアクセス: ei_zangyo.pdf | IP: 160.249.26.50 | ブラウザ: Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1
