2026-01-28 08:43:16 | ID: hdn0053978 | PDFアクセス: SPIKA_second_half.pdf | IP: 219.104.171.116 | ブラウザ: Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Mobile Safari/537.36
2026-01-28 08:43:21 | ID: hdn0053978 | PDFアクセス: SPIKA202512.pdf | IP: 219.104.171.116 | ブラウザ: Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Mobile Safari/537.36
2026-01-28 08:44:41 | ID: hdn0053978 | アクセス: videos4.php | IP: 219.104.171.116 | ブラウザ: Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Mobile Safari/537.36
2026-01-28 08:57:11 | ID: hdn0053978 | PDFアクセス: ei_zangyo.pdf | IP: 219.104.171.116 | ブラウザ: Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Mobile Safari/537.36
2026-01-28 08:57:47 | ID: hdn0053978 | PDFアクセス: SE_zangyo.pdf | IP: 219.104.171.116 | ブラウザ: Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Mobile Safari/537.36
2026-01-28 08:58:36 | ID: hdn0053978 | PDFアクセス: service_add.pdf | IP: 219.104.171.116 | ブラウザ: Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Mobile Safari/537.36
2026-01-28 08:59:36 | ID: hdn0053978 | PDFアクセス: ranking2025.pdf | IP: 219.104.171.116 | ブラウザ: Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Mobile Safari/537.36
2026-01-28 09:50:53 | ID: hdn0022777 | PDFアクセス: sokuho_2025.pdf | IP: 210.162.46.12 | ブラウザ: Mozilla/5.0 (iPad; CPU OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1
2026-01-28 09:53:33 | ID: hdn0101585 | PDFアクセス: revenue.pdf | IP: 1.73.29.110 | ブラウザ: Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1
2026-01-28 09:54:19 | ID: hdn0022777 | アクセス: videos4.php | IP: 210.162.46.12 | ブラウザ: Mozilla/5.0 (iPad; CPU OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1
2026-01-28 09:55:25 | ID: hdn0053978 | PDFアクセス: service_rieki.pdf | IP: 219.104.171.116 | ブラウザ: Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Mobile Safari/537.36
2026-01-28 09:55:37 | ID: hdn0053978 | アクセス: videos4.php | IP: 219.104.171.116 | ブラウザ: Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Mobile Safari/537.36
2026-01-28 10:08:23 | ID: hdn0022777 | アクセス: videos.php | IP: 210.162.46.12 | ブラウザ: Mozilla/5.0 (iPad; CPU OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1
2026-01-28 10:08:56 | ID: hdn0022777 | PDFアクセス: ranking2025.pdf | IP: 210.162.46.12 | ブラウザ: Mozilla/5.0 (iPad; CPU OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1
2026-01-28 10:12:08 | ID: hdn0022777 | PDFアクセス: graph2025.pdf | IP: 210.162.46.12 | ブラウザ: Mozilla/5.0 (iPad; CPU OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1
2026-01-28 12:50:13 | ID: hdn0101585 | PDFアクセス: revenue.pdf | IP: 1.73.30.82 | ブラウザ: Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1
